排名,名字,评分,导演,类型,国家,年份,评价
178,爆裂鼓手,8.6,达米安·沙泽勒,剧情 音乐,美国,2014,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
179,碧海蓝天,8.7,Luc,剧情 爱情,法国 美国 意大利,1988,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
180,恐怖游轮,8.3,克里斯托弗·史密斯,剧情 悬疑 惊悚,英国 澳大利亚,2009,不要企图在重复中寻找已经失去的爱。
181,达拉斯买家俱乐部,8.6,让-马克·瓦雷,剧情 传记 同性,美国,2013,Jared Leto的腿比女人还美！
182,阿飞正传,8.5,王家卫,犯罪 剧情 爱情,香港,1990,王家卫是一种风格，张国荣是一个代表。
183,秒速5厘米,8.3,新海诚,动画 剧情 爱情,日本,2007,青春就是放弃和怀念。
184,牯岭街少年杀人事件,8.7,杨德昌,剧情 犯罪,台湾,1991,弱者送给弱者的一刀。
185,谍影重重2,8.5,保罗·格林格拉斯,动作 悬疑 惊悚,美国 德国,2004,谁说王家卫镜头很晃？
186,谍影重重,8.5,道格·里曼,动作 悬疑 惊悚,美国 德国 捷克,2002,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
187,海盗电台,8.6,理查德·柯蒂斯,剧情 喜剧 音乐,英国 德国 法国,2009,生命不止，摇滚不死。
188,被解救的姜戈,8.5,昆汀·塔伦蒂诺,剧情 动作 西部 冒险,美国,2012,热血沸腾，那个低俗、性感的无耻混蛋又来了。
189,惊魂记,8.9,Alfred,悬疑 惊悚 恐怖,美国,1960,故事的反转与反转，分裂电影的始祖。
190,魔女宅急便,8.4,宫崎骏,动画 奇幻 冒险,日本,1989,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
191,再次出发之纽约遇见你,8.5,约翰·卡尼,喜剧 爱情 音乐,美国,2013,爱我就给我看你的播放列表。
192,东京物语,9.2,小津安二郎,剧情 家庭,日本,1953,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
193,绿里奇迹,8.7,Frank,犯罪 剧情 奇幻 悬疑,美国,1999,天使暂时离开。
194,青蛇,8.4,徐克,剧情 奇幻 古装,香港,1993,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
195,末路狂花,8.7,雷德利·斯科特,犯罪 剧情 惊悚,美国 法国,1991,没有了退路，只好飞向自由。
196,勇闯夺命岛,8.5,迈克尔·贝,动作 冒险,美国,1996,类型片的极致。 
197,哪吒闹海,8.8,严定宪,冒险 动画 奇幻,中国大陆,1979,想你时你在闹海。
198,迁徙的鸟,9.1,雅克·贝汉,纪录片,法国 德国 意大利 西班牙 瑞士,2001,最美的飞翔。
199,忠犬八公物语,9,Seijirô,剧情,日本,1987,养狗三日，便会对你终其一生。
200,终结者2：审判日,8.5,詹姆斯·卡梅隆,动作 科幻,美国 法国,1991,少见的超越首部的续集，动作片中的经典。
201,荒野生存,8.6,西恩·潘,冒险 传记 剧情,美国,2007,出门必备：本草纲目。
202,卡萨布兰卡,8.6,Michael,剧情 爱情 战争,美国,1942,与同名歌曲无关。
203,这个男人来自地球,8.5,理查德·沙因克曼,剧情 科幻,美国,2007,科幻真正的魅力不是视觉效果能取代的。 
204,源代码,8.3,邓肯·琼斯,爱情 科幻 悬疑 惊悚,美国 加拿大,2011,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
205,变脸,8.4,吴宇森,动作 科幻 犯罪 惊悚,美国,1997,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
206,新龙门客栈,8.5,李惠民,剧情 动作 武侠 古装,香港 中国大陆,1992,嬉笑怒骂，调风动月。
207,黑客帝国3：矩阵革命,8.5,Andy,动作 科幻,美国 澳大利亚,2003,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
208,燕尾蝶,8.6,岩井俊二,犯罪 剧情,日本,1996,现实与童话交相辉映的旅程。
209,黄金三镖客,9.1,Sergio,冒险 西部,意大利 西班牙 西德,1966,最棒的西部片。
210,城市之光,9.2,Charles,喜剧 剧情 爱情,美国,1931,永远的小人物，伟大的卓别林。
211,E.T. 外星人,8.5,Steven,剧情 科幻,美国,1982,生病的E.T.皮肤的颜色就像柿子饼。
212,英国病人,8.4,安东尼·明格拉,爱情 剧情 战争,美国 英国,1996,"In memory, love lives forever..."
213,发条橙,8.4,Stanley,犯罪 剧情 科幻,英国 美国,1971,我完全康复了。
214,美国丽人,8.4,萨姆·门德斯,剧情 爱情 家庭,美国,1999,每个人的内心都是深不可测的大海。 
215,无耻混蛋,8.4,Quentin,剧情 犯罪,美国 德国,2009,昆汀同学越来越变态了，比北野武还杜琪峰。
216,叫我第一名,8.6,彼得·维纳,剧情 传记,美国,2008,乐观比一切都有力量。
217,模仿游戏,8.5,莫腾·泰杜姆,剧情 传记 战争 同性,英国 美国,2014,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
218,穆赫兰道,8.3,大卫·林奇,剧情 悬疑 惊悚,法国 美国,2001,大卫·林奇的梦境迷宫。
219,初恋这件小事,8.3,普特鹏·普罗萨卡·那·萨克那卡林,剧情 喜剧 爱情,泰国,2010,黑小鸭速效美白记。
220,非常嫌疑犯,8.6,布莱恩·辛格,剧情 犯罪 悬疑 惊悚,德国 美国,1995,我不信仰上帝，但我敬畏上帝。
221,头脑特工队,8.7,彼特·道格特,喜剧 动画 冒险,美国,2015,愿我们都不用长大，每一座城堡都能永远存在。
222,勇士,8.9,加文·欧康诺,剧情 运动 家庭,美国,2011,热血沸腾，相当完美的娱乐拳击大餐。
223,上帝也疯狂,8.6,Jamie,喜剧,博茨瓦纳 南非,1980,纯净原始的笑与感动。
224,房间,8.8,伦尼·阿伯拉罕森,剧情 家庭,爱尔兰 加拿大,2015,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
225,爱在午夜降临前,8.8,理查德·林克莱特,剧情 爱情,美国,2013,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
226,蓝色大门,8.3,易智言,剧情 爱情 同性,台湾 法国,2002,青春的窃窃私语。 
227,无敌破坏王,8.6,瑞奇·莫尔,喜剧 动画 奇幻 冒险,美国,2012,迪士尼和皮克斯拿错剧本的产物。
228,爱·回家,9,李廷香,剧情 家庭,韩国,2002,献给所有外婆的电影。
229,血钻,8.5,爱德华·兹威克,剧情 惊悚 冒险,美国 德国,2006,每个美丽事物背后都是滴血的现实。
230,国王的演讲,8.3,汤姆·霍珀,剧情 传记 历史,英国 澳大利亚 美国,2010,皇上无话儿。
